submission_folder,agent_name,llm_name,instance_id,joined,enriched_encoding,is_failed
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-14539,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr Ls Lb P Vr P Vr P Vr P Vr P Vr G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-14598,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb Ls Lt Ls Ls Ls Lt Ls Lt Ls Lt Ls Lb P Vp Lb P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-14995,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb P Ve G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-7166,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb Ls Lt P Ps Vp Lb P Vp G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-7336,1,P P Vp Lb Ls Lb P Ps Ve G P P Vp Ls Ls Lb Ls Lt P Vp P Lb P Vp G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-7606,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr Ls Lb Ls Lt P Vr G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-7671,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb Lt Pi P P P P P P P P P P P P P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-8707,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Lb Lt P P P Ve P P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,astropy__astropy-8872,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P Vp Ls Lb Ls Lt P Ps Ps Ps Ve P Ve P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-10554,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp G Lb P Lb P Ps Vp Vp Lb P Vr P Vr P Vr P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-10914,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Lb Ls Lt Lb Lt Lt P G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-10973,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Lb P Ps P P P Lb P P P P P P P P P P P P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11087,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Lb Ls Ls Lt Ls Ls Lb Ls Lt Lt Ls Lt P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11095,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Lb Ls Lt P Ls Lb Lt P Vp Lb Lt P Vp Lb,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11099,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb P P P P Vp G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11119,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P Vp Ls Lb Lt P Vp G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11133,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P Vp Ls Lb Lt Lt Lt Lt P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11138,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P Vp P Vp P Vp P Vp P P P P Lb P P Vp P Lb,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11149,1,P P Vp Lb Ls Lb P Ps Ve G Vp Lb P P P P Lb Ls G Lb Lb Lb Lb P Ps Vp Vp Vp Vp Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11163,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P Vp P Lb P P Ps Ps P Vp P P Lb P Vp Vp P P P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11179,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P Ps Vp P Vp P Vp P Vp P P Vp P Vp P P Vp P Vp P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11206,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr P P Vp Ls Lb P Ps Ve Ls Lb P Ps Ps Ps Ps Ps Ps Ps Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11211,1,P P Vp Lb Ls Lb P Ps Ve G Vp Ls Vp Lb P Vp Lb P Vp P Vp Vp P P Vp Lb P Vp Vp Vp Vp G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11239,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Lb P Lb P Ps Vp Lb P Vp G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11265,1,P P Vp Lb Ls Lb P Ps Ve G P P P Vp Lb Lb P P Vp Lb Lt P Vp P Vp P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11276,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb P P P Ps P Ls Ls P Ls Vp Ls Lb P Vp Ls Vp,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11292,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Lb Ls Ls Lt P Ps Ls Lt P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11333,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Lb Lt P Vp Vp G Vp Vp Pi Pi Ve Lb Pr P Vp Ve P P Vp Pi Pi Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11400,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb P P Lt Ls Lt P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11451,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11477,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt Lb Lt P Vp Ls Lb Lt P Ve P Ps Ps Ps Ps Ve P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11490,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P P P Lb P P Vp P P P P Vp Lb P Vp Lb P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11532,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P Ps P Vp Lb P P P P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11551,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr Pi P Vr P Vr P Vr P Vr G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11555,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Lb Ls G G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11603,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Ls Lt Ls P P P P P P P Vp P P Vp P Vp P Vp,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11728,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Ls Ls Lb Lb Lb P Vp Lb Ls Lt P Vp P Vp P Ps Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11734,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Lt P P P Vp Ls Vp E Ls Ls Lb Lb Lb P P P Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11740,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Ls G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11790,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Lt Ls Lb Lt Ls Lt Lb Lt P Ps P P Vp P Vp P P P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11815,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls Vp Ls Vp Lb P Lb Ls Lb P Vp G Vp Lb P Lb P Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11820,1,P P Vp Lb Ls Lb P Ps Ve G Vp Lb P Vp Ls Vp Ls Lb P Vp Ls Ls Lb Lb Lt Ls Ls Ls Lb Lt Lb,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11848,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt P P P Vp P Vp P P P Vp Lb Lt G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11885,1,P P Vp Lb Ls Lb P Ps Ve G P P Vp Vp Vp P P Lb P Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps Lb Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11951,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt Lt Lt P P Ve Vp G Ls G G P P Vp P P Lb P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11964,1,P P Vp Lb Ls Lb P Ps Ve G Pr P P Vp P P Vp P Ps P Lb P Vp Vp P Vp P Vp P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-11999,1,P P Vp Lb Ls Lb P Ps Ve G Vp P P P P Vp P Vp P P P Lb P Vp Ls Ls Ls Ls Ls Ls Lb Ls Lt,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12039,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P Lb P P Ps Ps P Ps Ps Ps P Ps Ps Ps Ps P Vp Lb,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12050,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Ls Ls Ls Ls Lb Ls Lt P Ls Lb Ls P Pr P Vp Vp P Vp G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12125,1,P P Vp Lb Ls Lb P Ps Ve G Vp Lb P Vp Lb P P P P Vp Vp P Vp Vp P P P Lb P Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12143,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Pr P Vp P P Ps Ps Vp P Vp P P P Vp Lb P Vp G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12155,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Pi Pi P Vp Lb Pi P Ve P Ve P P Lb P Vp G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12193,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ls P P P Vp Ls Vp P Vp P P Vp Ls P P Vp P P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12209,1,P P Vp Lb Ls Lb P Ps Ve G Vp P P Pr P Ls G Lb P Ps Ps P Vp E G Vp Vp P Vp Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12262,1,P P Vp Lb Ls Lb P Ps Ve G Ps P Ve P Ve P Ve P P Ps P Ve Lb Ve Lb P P P P Lb P Vp Lb,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12273,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P Lb P P Ps Ps Vp P Vp P Vp Ve P P Lb P Ps Ps Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12276,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt P P P Ls G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12304,1,P P Vp Lb Ls Lb P Ps Ve G Vp Lb Lb Ls P P P Lb P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12308,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt P P Vp P Vp P Vp Pi P Vp P Vp Lb Lt P P P Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12325,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P P P Lb P P Ps P P Vp P Vp P P P Vp P Vp P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12406,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P Ps P Vp P Ps Ps Ps Ps Ps Ps Vp P Vp P Vp P Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12663,1,P P Vp Lb Ls Lb P Ps Ve G Pr P P P P Vp P P Vp P P P P Lb P P Vp P Vp Ve P Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12708,1,P P Vp Lb Ls Lb P Ps Ve G Ve Lb P P Vp Vp Lb G Vp Vp Lb P Ps Vp Vp Lb Vp P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12713,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P Vp P Vp Pi Vp P P P Lb P P Ps P Vp Lb P Vp P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12741,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt P P Ls Lb Pi Lb Ls Lt P Ls Lb Ls P Ls G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12858,1,P P Vp Lb Ls Lb P Ps Ve G Vp Ls Vp Ls Lb P Vp P Vp Lb Lb G E Vp Vp P P P P Vp Vp Vp P P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-12965,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt Lt Ls Lb Lb Ls Lt Lb P Ps Ps Vp E Ls,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13012,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Pi P P Vp G Vp P P Vp Ls Ls Ls P P Vp Ls P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13023,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr P Vr P Vr Pi Vr P Vr Ls Lb Ls Lt Ls Lt Vr P P P Vr Ls,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13028,1,P P Vp Lb Ls Lb P Ps Ve G Pr P P Vp P Vp Pi Vp P Vp P Vp P Vp P Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13033,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp G Lb P Ps Vp Lb P P P Vp Vp Vp Vp Pi,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13089,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb P P P P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13109,1,P P Vp Lb Ls Lb P Ps Ve G Pr P P Vp P P P Ps Lb P P Vp P Ps P Vp P Ps Vp P Ps P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13112,1,P P Vp Lb Ls Lb P Ps Ve G Ve Ls Vp Lb Lb Lb Ls G Vp Lb P Lb P Ps P Vp E E Vp E,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13121,1,P P Vp Lb Ls Lb P Ps Ve G Pr P P Vp P Vp P Ps Ps Ps Ps Vp P Vp Lb Vp P Vp P Vp P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13128,1,P P Vp Lb Ls Lb P Ps Ve G Vr Ls Vr Lb P P P Vp Ls E Lb P Vp Vr Vp Vp P Lb P P Vp Lb P Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13158,1,P P Vp Lb Ls Lb P Ps Ve G Vp G Vp Lb P P P Lb P Lb P Ps Vp Lb P Vp Vp Vp P P Vp P P Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13195,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Lb Ls Lt P P P Vp P P Vp P P P Vp P P P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13212,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb P P P Vp P Vp Lb Lt P Ve P Ve P Ve P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13279,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Lb Ls Lt P G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13297,1,P P Vp Lb Ls Lb P Ps Ve G Pr P P P Vp Lb P Vp P Ps Vp P Vp Lb P Lb P Ps Ps Vp P Ps Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13315,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Ls Ls Ls Ls Ls Ls Lb Ls Lt Lt Ls G Vp Lb P P P Lb P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13343,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr P P Vp P P Lb P Vp P Vp Ls Lb Ls Lt P P P Ve P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13344,1,P P Vp Lb Ls Lb P Ps Ve G G P P Lb P E Vp G E G E E Lb G Lb G Lb Lb P G G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13346,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr P P Vp P Lb P P Vr P P Lb P Vp Lb Vp Vr Lb P Vr,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13363,1,P P Vp Lb Ls Lb P Ps Ve G P P P Vr P P Vr P Vr P Vr P Vr P P P P P Vr P Vr Pi,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13401,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P P Lb P Ps Ps Ps Ps Ps Vp P Ps P P Vp P Vp Lb P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13406,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Ve G Vp P P P P Lb P Ps Ps Vp Vp P Lb Vp Ve Ls Ls,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13410,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Pi Ps Ps Pi Pi P Vp G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13512,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr P Vr P Vr Ls Lb Ls Lt P Ps P P P Ps Ps Ps Vr G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13513,1,P P Vp Lb Ls Lb P Ps Ve G Pr P P Ve Ls Lb Ls Lt P Ps Ve P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13516,1,P P Vp Lb Ls Lb P Ps Ve G Vp P Lb P Vp Ls Vp Lb G Lb P Ps Vp Vp P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13551,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb P Ls Lb P P Vp Lb P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13568,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Pi Vp P P Vp P Vp P Vp G Lb P Lb P Ps Vp Lb P Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13569,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P Ps P P P P P Lb P P P P P P P P P P P P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13590,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P Vp P Lb P P Vp P Vp P Vp Lb Lb Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13658,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Ls Lb Ls Lb Lb Ls Ls Lt Ls Lt Pi Pi P Vp Lb Ls Lt P Ve,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13670,1,P P Vp Lb Ls Lb P Ps Ve G P P Vp P Vp Ls Lb Ls Lt P Ve G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13741,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls P Ls Lt P P G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13786,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb P Ls Ls Ls Ls Ls Ls Lb P Ps Ps P P P,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13807,1,P P Vp Lb Ls Lb P Ps Ve G Vp Ls Vp P Lb P P P Lb Ls P Vp G E Lb P Vp Vp Vp Vp Vp E G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13809,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Lt P Ps Ps Ps Ps Ps Ps Ps Ps Ps Ps Ps Ps Ps Ps Ps Ps Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13820,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls P G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13821,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb P Ls Vp Vp Vp Ls Lb P Lb Lb P Lb Ls P Ls Lb G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13837,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Lt P P P P P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13925,1,P P Vp Lb Ls Lb P Ps Ve G E Ls Ls Ls Lb Vp Ls Vp Ls Lb Ls Ls Lb P Vp Vp Ls Lb P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13933,1,P P Vp Lb Ls Lb P Ps Ve G P P Ls P P P Vr Pi P P Vr P Vr P P Vr P Ps Ps Ps Ps Vr P Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-13964,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P P P Vp P P Lb P P Vp Lb P P Vp Lb P Vp P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14007,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp G Lb P P Lb P Vp Lb P Ps Vp Ve Vp Vp Ls Lb Ls Lt Ls,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14011,1,P P Vp Lb Ls Lb P Ps Ve G Lb P P Vp P Vp P Vp P P P Vp G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14017,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp Pi Vp P Vp P Lb Vp P Vp P Vp Ls Lb Lt Ls Lb Lt Lt P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14034,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P Lb Vp P Ps Ps Ps Ps Ps Ps Vp Ls Lb Lt P Ve G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14089,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Ve Ls Lb P Ve G,0
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14122,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Lb Ls Ls Lt Lt Lt Lt P P Lb G Vp Lb P P Lb P Vp,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14155,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Lt P P P P Vp P P Vp Lb Ls P Lt Pi Lt P Ve,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14170,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr Pi Vr Pi P Vr Pi Lb P Vr Pi Vr Lb P Vr Lb P Vr P Vr Pi,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14238,1,P P Vp Lb Ls Lb P Ps Ve G Pr P Vp P P P P P Lb P Vp G Vp Lb Lb P P Lb Lb Lb P Lb P Vp Lb,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14311,1,P P Vp Lb Ls Lb P Ps Ve G Ls Lb Ls Ls Lb Ls Lb Ls Ls Ls G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14315,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Ls Ls Ls Lb Ls Lb Lb P Lb P Lb P Lb P Lb Lt P Lb Lt P Lb Lb Lt P Lb P G,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14349,1,P P Vp Lb Ls Lb P Ps Ve G Ls Ls Ls Lb Ls Lt Ls Lt Pi Ps Ve Ls Lb Ls Lt P,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14351,1,P P Vp Lb Ls Lb P Ps Ve G P P P Vr P P Vr P Vr P Vr P P Ps Ps Ps Ps Ps,1
20240402_sweagent_claude3opus,SWE-agent,claude-3-opus,django__django-14373,1,P P Vp Lb Ls Lb P Ps Ve G P P Vr Ls Lb Ls Ls Lt Ls Lb Lt Lb P Vr G,0
