sheet_position,session_id,block_index,score
88,99d18b2f-7a6e-4efe-bb7d-011b2367cc34,0,1
89,270ef70a-efb8-4e93-ba7d-f48c46b2dbc8,2,1
90,5373e73b-328f-4606-8345-fdd8d09b69f6,1,2
91,56d2ecd9-789a-4835-83ef-f95f3348dcf6,4,0
92,4743a42b-e732-408f-9c44-01c1b5c6eba4,2,1
93,69c0edb6-f124-4a79-a8aa-38bef5be7f4a,5,1
94,e8eeb5d3-cadf-4960-a10d-8c6bd1c7191f,3,2
95,f675c8c5-a02b-4b1e-94c8-eb344b3dd663,17,0
96,c5ddbd37-2928-44d8-a487-7c19faabfd7c,12,0
97,5a58aae8-e742-4312-8f42-3335f876b2d3,4,0
98,f675c8c5-a02b-4b1e-94c8-eb344b3dd663,20,1
99,ec7ed0d3-6f4b-470a-86ee-ccea6a27e1ec,5,0
100,bf1fe5d4-9daf-4fa0-80d5-0332820086df,2,0
